Adjusted	Sector	SectorName	Date	Employment
SMS	10	Mining and Logging	1990-01-01	7.0
SMS	10	Mining and Logging	1990-02-01	7.0
SMS	10	Mining and Logging	1990-03-01	7.0
SMS	10	Mining and Logging	1990-04-01	7.0
SMS	10	Mining and Logging	1990-05-01	6.8
SMS	10	Mining and Logging	1990-06-01	6.7
SMS	10	Mining and Logging	1990-07-01	6.7
SMS	10	Mining and Logging	1990-08-01	6.7
SMS	10	Mining and Logging	1990-09-01	6.6
SMS	10	Mining and Logging	1990-10-01	6.6
SMS	10	Mining and Logging	1990-11-01	6.5
SMS	10	Mining and Logging	1990-12-01	6.6
SMS	10	Mining and Logging	1991-01-01	6.1
SMS	10	Mining and Logging	1991-02-01	6.0
SMS	10	Mining and Logging	1991-03-01	5.9
SMS	10	Mining and Logging	1991-04-01	5.9
SMS	10	Mining and Logging	1991-05-01	5.9
SMS	10	Mining and Logging	1991-06-01	5.8
SMS	10	Mining and Logging	1991-07-01	5.9
SMS	10	Mining and Logging	1991-08-01	5.7
SMS	10	Mining and Logging	1991-09-01	5.6
SMS	10	Mining and Logging	1991-10-01	5.6
SMS	10	Mining and Logging	1991-11-01	5.5
SMS	10	Mining and Logging	1991-12-01	5.5
SMS	10	Mining and Logging	1992-01-01	5.5
SMS	10	Mining and Logging	1992-02-01	5.5
SMS	10	Mining and Logging	1992-03-01	5.5
SMS	10	Mining and Logging	1992-04-01	5.4
SMS	10	Mining and Logging	1992-05-01	5.5
SMS	10	Mining and Logging	1992-06-01	5.5
SMS	10	Mining and Logging	1992-07-01	5.5
SMS	10	Mining and Logging	1992-08-01	5.4
SMS	10	Mining and Logging	1992-09-01	5.5
SMS	10	Mining and Logging	1992-10-01	5.5
SMS	10	Mining and Logging	1992-11-01	5.5
SMS	10	Mining and Logging	1992-12-01	5.6
SMS	10	Mining and Logging	1993-01-01	5.5
SMS	10	Mining and Logging	1993-02-01	5.6
SMS	10	Mining and Logging	1993-03-01	5.4
SMS	10	Mining and Logging	1993-04-01	5.5
SMS	10	Mining and Logging	1993-05-01	5.5
SMS	10	Mining and Logging	1993-06-01	5.5
SMS	10	Mining and Logging	1993-07-01	5.6
SMS	10	Mining and Logging	1993-08-01	5.6
SMS	10	Mining and Logging	1993-09-01	5.7
SMS	10	Mining and Logging	1993-10-01	5.7
SMS	10	Mining and Logging	1993-11-01	5.8
