FIPS,State,County,PopChangeRate1415,PopChangeRate1015,TotalPopEst2015,NetMigrationRate1015,NaturalChangeRate1015,Net_International_Migration_Rate_2010_2015,PopChangeRate0010,NetMigrationRate0010,NaturalChangeRate0010,Immigration_Rate_2000_2010,PopDensity2010,Under18Pct2010,Age65AndOlderPct2010,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010,NonHispanicWhitePopChangeRate0010,NonHispanicBlackPopChangeRate0010,NonHispanicAsianPopChangeRate0010,NonHispanicNativeAmericanPopChangeRate0010,HispanicPopChangeRate0010,MultipleRacePopChangeRate0010,WhiteNonHispanicNum2010,BlackNonHispanicNum2010,AsianNonHispanicNum2010,NativeAmericanNonHispanicNum2010,HispanicNum2010,MultipleRaceNum2010,ForeignBornPct,ForeignBornEuropePct,ForeignBornMexPct,NonEnglishHHPct,Ed1LessThanHSPct,Ed2HSDiplomaOnlyPct,Ed3SomeCollegePct,Ed4AssocDegreePct,Ed5CollegePlusPct,AvgHHSize,FemaleHHPct,HH65PlusAlonePct,OwnHomePct,TotalPop25Plus,Ed1LessThanHSNum,Ed2HSDiplomaOnlyNum,Ed3SomeCollegeNum,Ed5CollegePlusNum,TotalHH,Ed4AssocDegreeNum,NonEnglishHHNum,HH65PlusAloneNum,ForeignBornAsiaNum,FemaleHHNum,TotalPopACS,TotalOccHU,ForeignBornCentralSouthAmPct,ForeignBornCentralSouthAmNum,ForeignBornCaribPct,ForeignBornCaribNum,ForeignBornAfricaPct,ForeignBornAfricaNum,ForeignBornNum,ForeignBornAsiaPct,ForeignBornMexNum,ForeignBornEuropeNum,OwnHomeNum,LandAreaSQMiles2010,Under18Num2010,TotalPop2010,Age65AndOlderNum2010,Net_International_Migration_2000_2010,NaturalChangeNum0010,NetMigrationNum0010,TotalPopEst2011,TotalPopEstBase2010,TotalPopEst2012,TotalPopEst2013,TotalPopEst2010,TotalPopEst2014,Net_International_Migration_2010_2015,NaturalChange1015
00000,US,United States,0.79,4.10,321418820,,2.24,1.66,9.71,,,,87.42,24.03,13.04,63.75,12.21,4.69,0.73,16.35,2.92,1.16,11.01,42.89,8.61,42.97,31.98,196817552,37685848,14465124,2247098,50477594,9009073,13.07084338,1.532428349,4.708112218,9.049107808,13.67467586,27.95450211,21.16252617,7.930920791,29.27737507,2.63,13.03098331,9.955913675,64.354838,209056129,28587748,58440600,44241558,61206147,116211092,16580076,10516067,11569876,9506,15143448,314107084,116211092,0.027712842,87048,6.82855946,21448989,0.014311043,44952,41056445,0.003026356,14788514,4813466,74787460,3531905.43,74181467,308745538,40267984,,,,311718857,308758105,314102623,316427395,309346863,318907401,5135276,6936681
01000,AL,Alabama,0.26,1.65,4858979,0.61,0.94,0.54,7.48,3.30,3.30,1.222930915,94.38,23.69,13.76,67.04,26.04,1.11,0.54,3.88,1.49,2.51,8.20,70.83,19.84,144.76,61.28,3204402,1244437,52937,25907,185602,71251,3.455544351,0.369431083,1.601850518,2.385388134,16.29533777,31.06872117,22.00461667,7.578633532,23.05269085,2.55,15.29605781,10.44363887,69.16805904,3217902,524368,999761,708087,741813,1842174,243873,43943,192390,22,281780,4817678,1842174,0.006808259,328,1.836984539,88500,0.005023167,242,166477,0.000456652,77172,17798,1274196,50645.33,1132459,4779736,657792,54447,147019.5,147119,4801108,4780127,4816089,4830533,4785161,4846411,25919,44759
01001,AL,Autauga,0.10,1.42,55347,0.47,0.78,0.16,24.96,11.87,5.46,-0.010222394,91.80,26.78,12.00,77.25,17.58,0.86,0.40,2.40,1.59,21.05,29.17,140.72,16.67,114.75,114.57,42154,9595,467,217,1310,869,1.400174115,0.255731283,0.538668021,0.871749409,13.83269395,33.50260812,22.89349488,7.82987884,21.94132421,2.69,11.84495666,9.3035855,75.09850276,36233,5012,12139,8295,7950,20304,2837,177,1889,0,2405,55136,20304,0,0,0.618470691,341,0,0,772,0,297,141,15248,594.44,14613,54571,6546,-4.5,2403.5,5224,55253,54571,55175,55038,54660,55290,89,429
01003,AL,Baldwin,2.00,11.77,203709,10.53,0.67,0.53,29.80,26.17,3.32,1.584454727,114.65,22.99,16.77,83.50,9.31,0.74,0.63,4.38,1.49,25.92,18.17,152.35,52.19,224.09,85.74,152200,16966,1340,1146,7992,2723,3.562145341,0.752072383,1.263565283,2.235210381,10.96670594,28.81508551,22.85411992,8.73959795,28.62449068,2.58,10.54915273,10.69424293,71.45418708,133267,14615,38401,30457,38147,73058,11647,1633,7813,9,7707,191205,73058,0.068512853,131,1.85560001,3548,0,0,6811,0.00470699,2416,1438,52203,1589.78,41898,182265,30568,2239.5,4686.5,36984,186659,182265,190396,195126,183193,199713,962,1223
01005,AL,Barbour,-1.22,-3.53,26489,-2.84,-0.28,-0.06,-5.44,-4.80,2.29,1.828364639,31.03,21.91,14.24,46.75,46.69,0.39,0.22,5.05,0.94,-13.19,-4.11,28.92,-49.58,190.17,21.70,12837,12820,107,60,1387,258,2.835650282,0.051624322,2.068660349,2.460360853,25.43002761,33.44659163,20.45020174,7.066256105,13.60692291,2.65,19.0267906,13.58119191,67.58884636,18836,4790,6300,3852,2563,9145,1331,225,1242,0,1740,27119,9145,0,0,2.101847413,570,0,0,769,0,561,14,6181,884.88,6015,27457,3909,530.5,664,-1393,27226,27457,27159,26973,27341,26815,-16,-76
01007,AL,Bibb,0.15,-1.47,22583,-1.39,0.17,0.38,10.03,6.43,2.10,0.341485462,36.81,22.70,12.68,75.02,21.92,0.10,0.28,1.77,0.89,8.32,9.60,29.41,39.13,93.33,89.72,17191,5024,22,64,406,203,1.319913477,0.141261643,0.578289851,0.84769709,22.10036345,40.06248804,21.45635401,6.14040681,10.24038768,2.98,15.11726476,10.82226618,76.98502402,15683,3466,6283,3365,1606,7078,963,60,766,0,1070,22653,7078,0,0,1.09919216,249,0,0,299,0,131,32,5449,622.58,5201,22915,2906,68,417.5,1280,22733,22919,22642,22512,22861,22549,86,40
01009,AL,Blount,0.03,0.61,57673,-0.17,0.69,0.17,12.34,12.27,3.14,2.07701489,88.90,24.61,14.72,88.89,1.26,0.20,0.50,8.07,1.19,8.41,21.07,64.29,34.43,70.20,31.79,50952,724,115,285,4626,684,4.132188394,0.227253014,3.50941105,5.488678704,21.93741678,34.49503226,22.29591314,9.008501485,12.26313633,2.73,10.16050444,9.668481895,78.41788478,39052,8567,13471,8707,4789,20934,3518,1149,2024,0,2127,57645,20934,0,0,3.615231156,2084,0,0,2382,0,2023,131,16416,644.78,14106,57322,8439,1061.5,1606,6268.5,57711,57322,57776,57734,57373,57658,98,395
01011,AL,Bullock,-1.23,-2.01,10696,-2.56,0.81,1.26,-6.83,-9.13,3.20,3.661169156,17.52,22.26,13.46,21.92,69.97,0.18,0.18,7.12,0.79,-13.46,-10.00,-4.76,-45.95,141.30,4.88,2392,7637,20,20,777,86,4.70401197,0,3.974562798,1.601708489,34.47755046,32.30811479,15.28216394,3.844569546,14.08760126,2.7,26.29471436,13.74799786,72.79765083,7283,2511,2353,1113,1026,3746,280,60,515,0,985,10693,3746,0,0,4.142897222,443,0,0,503,0,425,0,2727,622.80,2430,10914,1469,424,371,-1057.5,10629,10915,10606,10628,10887,10829,137,88
01013,AL,Butler,-0.60,-3.78,20154,-3.71,-0.06,0.05,-2.11,-6.67,-0.25,0.206330598,26.96,24.14,16.66,54.06,43.19,0.83,0.28,0.91,0.77,-8.89,4.34,411.76,34.09,33.57,91.67,11324,9047,174,59,191,161,0.784485699,0.014617746,0.267992009,1.042045317,23.41713553,37.13410726,17.37055765,7.755857845,14.32234171,2.45,20.18659881,11.60790016,69.91397068,14041,3288,5214,2439,2011,8253,1089,86,958,0,1666,20523,8253,0,0,0.267992009,55,0,0,161,0,55,3,5770,776.83,5056,20947,3489,44,-52.5,-1423,20673,20946,20408,20261,20944,20276,10,-13
01015,AL,Calhoun,-0.32,-2.50,115620,-2.24,-0.13,0.24,5.63,1.48,1.62,0.714793709,195.71,22.88,14.33,73.61,20.39,0.70,0.40,3.28,1.67,-0.36,16.66,32.80,12.41,122.08,82.70,87285,24177,830,480,3893,1975,2.366323622,0.414725308,1.082893861,1.922907295,19.92449185,32.40876098,23.39227376,7.369036572,16.90543684,2.52,15.96983329,11.00820323,68.5300344,78667,15674,25495,18402,13299,45348,5797,872,4992,0,7242,117186,45348,0,0,1.20492209,1412,0,0,2773,0,1269,486,31077,605.87,27126,118572,16990,794,1800.5,1645,117768,118586,117286,116575,118437,115993,288,-159
