State	City	Population	Violent Crime	Murder and Nonnegligent Manslaughter	Rape	Robbery	Aggravated Assault	Property Crime	Burglary	Larceny-Theft	Motor Vehicle Theft	Arson1
New Mexico	Albuquerque	559721	965.8	7.7	72.2	301.2	584.8	6073.2	1071.2	4076.7	925.3	15.9
California	Anaheim	349471	363.7	5.2	36.9	125.6	196.0	2872.3	422.4	1972.4	477.6	8.0
Alaska	Anchorage	301239	1070.9	8.6	171.6	206.1	684.5	3917.5	559.4	2975.0	383.1	35.2
Texas	Arlington	387565	502.1	2.1	53.7	136.5	309.9	3443.6	559.9	2657.1	226.5	7.5
Georgia	Atlanta	464710	1119.6	20.2	36.6	429.3	633.5	5499.3	1028.8	3549.1	921.4	10.8
Colorado	Aurora	360237	460.8	6.7	97.7	124.1	232.3	2936.7	467.2	2119.4	350.0	17.8
Texas	Austin	938728	372.5	2.5	51.9	99.0	219.2	3771.0	532.6	2990.0	248.3	9.7
California	Bakersfield	373887	484.1	5.9	19.0	175.2	284.0	4161.4	1036.9	2484.2	640.3	90.7
Maryland	Baltimore	621252	1535.9	55.4	46.2	694.2	740.1	4980.4	1248.6	2842.3	889.5	41.9
Massachusetts	Boston	665258	706.8	5.7	36.1	233.1	431.9	2316.1	354.3	1769.5	192.3	N/A
New York	Buffalo	258096	1118.6	15.9	67.0	400.2	635.4	4330.2	1076.0	2875.3	378.9	67.0
Arizona	Chandler	258875	189.3	0.4	30.5	44.0	114.3	2083.2	297.4	1686.9	98.9	17.4
North Carolina	Charlotte-Mecklenburg	877817	677.6	6.9	24.6	221.8	424.2	3767.9	769.5	2744.4	253.9	24.6
Illinois	Chicago	2728695	903.8	17.5	52.5	353.6	480.2	2946.3	482.0	2089.7	374.6	19.6
California	Chula Vista	265215	265.8	2.3	23.8	90.1	149.7	1741.6	267.7	1166.2	307.7	10.2
Ohio	Cincinnati	298478	925.0	22.1	79.1	423.1	400.7	5510.0	1478.5	3642.8	388.6	147.4
Ohio	Cleveland*	388655	1334.3	16.2	124.0	769.3	424.8	5434.4	1787.7	2659.2	987.5	78.2
