Country	UN10	UN20	WBGini	WBYear	CIA10	CIAYear	CIAGini	CIAGiniYear
Afghanistan			27.8	2008				
Albania	7.2	4.8	29.0	2012	7.2	2004	26.9	2012 est.
Algeria	9.6	6.1	35.3	1995	9.6	1995	35.3	1995
Angola			42.7	2008				
Argentina	31.6	17.8	42.7	2014	35.0	2007 Jan.-Mar.	45.8	2009
Armenia	8.0	5.0	31.5	2014	25.8	2004	30.3	2012
Australia	12.5	7.0	34.9	2010	12.7	1994	30.3	2008
Austria	6.9	4.4	30.5	2012	6.8	2004	26.3	2007
Azerbaijan	9.7	6.0	33.7	2008	9.5	2001	33.7	2008
Bahrain								
Bangladesh	7.5	4.9	32.0	2010	7.5	2000 est.	32.1	2010
Belarus	6.9	4.5	26.0	2012	6.9	2002	26.5	2011
Belgium	8.2	4.9	27.6	2012	8.3	2000	25.9	2013 est.
Belize			53.3	1999				
Benin	9.4	6.0	43.5	2012	9.4	2003	36.5	2003
Bhutan			38.7	2012			38.7	2012
Bolivia	93.9	42.3	48.4	2014	157.3	2002	46.6	2012
Bosnia and Herzegovina	5.4	3.8	33.0	2007	5.5	2001	36.2	2007
Botswana	43.0	20.4	60.5	2009			63.0	1993
Brazil	25	14	51.5	2014	24	2013	51.9	2012
Bulgaria	7.0	4.4	36.0	2012	8.8	2005	35.4	2012
Burkina Faso	11.6	6.9	39.8	2009	11.5	2003	39.5	2007
Burundi	19.3	9.5	33.4	2006	19.3	1998	42.4	1998
Cambodia	12.2	7.3	30.8	2012	12.0	2004	37.9	2008 est.
Cameroon	15.7	9.1	42.8	2007	15.4	2001	44.6	2001
Canada	9.4	5.5	33.7	2010	9.5	2000	32.1	2005
Cape Verde			42.7	2007				
Central African Republic	69.2	32.7	56.2	2008	68.1	1993	61.3	1993
Chad			43.3	2011			43.3	2011 est.
Chile	26.2	15.7	50.5	2013	32.1	2003	52.1	2009
China	21.6	12.2	42.2	2012	21.8	2004	42.2	2012
Colombia	60.4	25.3	53.5	2013	56.3	2008	53.5	2012
Comoros			64.3	2004				
DR Congo			42.1	2012				
Congo, Republic of the			40.2	2011				
Costa Rica	23.4	15.6	48.5	2014	37.3	2003	50.3	2009
Côte d'Ivoire	16.6	9.7	43.2	2008	17.0	2002	41.5	2008
Croatia	7.3	4.8	32.0	2011	7.2	2003 est.	32.0	2010
Cuba								
Cyprus			34.3	2012			32.4	2013 est.
Czech Republic	5.2	3.5	26.1	2012	5.2	1996	24.9	2012
