Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
2007	144275	144479	145323	145297	145864	146958	147315	146406	146448	146743	147118	146334
2008	144607	144550	145108	145921	145927	146649	146867	145909	145310	145543	144609	143350
2009	140436	140105	139833	140586	140363	140826	141055	140074	139079	139088	139132	137953
2010	136809	137203	137983	139302	139497	139882	140134	139919	139715	139749	139415	139159
2011	137599	138093	138962	139661	140028	140129	140384	140335	140502	140987	141070	140681
2012	139944	140684	141412	141995	142727	143202	143126	142558	143333	144039	143549	143060
2013	141614	142228	142698	143724	144432	144841	145113	144509	144651	144144	144775	144423
2014	143526	144134	145090	145767	146398	147104	147265	146647	146941	147936	147666	147190
2015	146552	147118	147635	148587	149349	149645	149722	149228	148980	149716	149766	149703
2016	149037	150060	150738	151075	151594	151990	152437	151804	151977	152335	152385	151798
2017	150527	151594	152628									
