ID	Tags	Text
2fJfR7RRA9ylerKLn7ucEA	Auto_Repair Automotive Tires Oil_Change_Stations 5_star	These guys are AMAZING! I brought my car in and they checked over the WHOLE car! I realize my car needs some TLC. The guys prioritized my list of things I need to get done and made me estimates too. I know I have alot of money I need to save to fix my car but the guys are helping me out and we are doing a little at a time. I LOVE the fact they told me EVERYTHING that was wrong with my car. They have a GREAT staff, a WONDERFUL warranty (2 years/24,000 miles on Parts & Labor), AMAZING technicians, and an attitude of service. I feel at home and will NEVER take my car someplace else, EVEN just for an oil change!!!
JJdtrQcq82KNS_2Q6-UZQA	Auto_Repair Automotive Tires Oil_Change_Stations 5_star	Matt and Tim were great. When going over solutions I felt they were straight forward and upfront about the cost of the repairs. I also felt that they understood how I felt about being separated from my money. Our Volvo is running great and we hope to keep it running for a long time with the help of Virginia Auto Service.
WD-jTNplqfvGM-dX46NIFQ	Auto_Repair Automotive Tires Oil_Change_Stations 5_star	Well, I have a little 2001 Ford Taurus. My lovely silver grandma car is fantastic for the 100-200 miles I drive per month. And now, my little car has a great shop looking after her. I took my car in as it was time for an oil change and I was convinced my serpentine belt was about to go. It had that tell-tale burning smell which was making me nervous. Turns out I had a loose oil-filter from my last oil change and dripping oil + catalytic converter = my car is about to die smell. Virginia Auto Service changed my oil and cleaned up my engine. It was so nice to receive a call from them saying my belt was fine and an oil change was all I needed. It was refreshing to be given an honest assessment vs being told some great story about some random repair that was needed...I am a female after all and have received some rather odd diagnoses in the past (your rotors fell off, so you'll need to have them replaced for example). It is very reassuring to know I now have an honest, kind and reliable repair shop for my car. Did my oil change run a bit more than some $19.99 special? Yes, but it was so worth it! Now my little one won't be getting an oil change for another year most likely, but my service advisor, Robert, asked me to please stop by every three months so they could check out my belts, tire pressure, etc just to be safe. Now THAT is service!
OWBgOTQ6sYB2Tob4wwaQZQ	Thai Restaurants 5_star	You won't be disappointed. We've eaten here about 7 times now, and we are ALWAYS delighted. The Beef Panang is just killer. The strips of beef are incredibly tender and of high quality. I usually find that the strips are a perfect medium (which I didn't know was possible in Thai cuisine). The sauce, ohhhhhh the sauce. Pour it over the rice (if you get it to go) and just love. Personally, my favorite is the yellow curry. Look, I've had Thai Elephant, Thai-E-Sam, Thai Basil, and another Thai joint in Phoenix that I can't remember. Yellow curry is my dish. It's absolutely the best here. Every time I eat it, my scalp tingles and I slip into a blissful happy place. The steamed vegetables are so tender that they fall apart. The little relish on the side is shockingly delicious and refreshing. The duck sauce that comes with the fried rolls makes them worthwhile. I know there's something with peanut sauce (satay?) that makes me happy. Appetizers and desserts are up to you. If you like cellophane wrapped veggie rolls, they're great here. If you like coconut ice cream, do it. If not, you can probably skip these as they cost as much as the entrees. Another note: don't come here thinking this is 100% authentic Thai cuisine. It's definitely Thai...but upgraded. In my opinion, it's perfect. It's also a good place to take someone on his or her first taste of Thai.
Rqd_QdZ56wvcR9eO-HTnEg	Thai Restaurants 5_star	Wow, just realized my reviews were never finished... So, this is from a year ago at Thanksgiving. Haven't been back, but would definitely try it again. ************* We just returned from a delish meal at Wild Thaiger, after reading all the great reviews. I'm happy to say it didn't disappoint! We had appetizers as well as dinner, and everything was sooooooooo tasty! The presentation was pleasing, the portions outrageously large, and the service exceptional. Granted, we did have the place pretty much to ourselves (being the day before Thanksgiving...). Still, it was a great experience. We'll definitely be back!
1B04StfscZXqqgbf0_et0w	Thai Restaurants 5_star	Most of my reviews for Asian restaurants in Phoenix begin with something like, "it's good...for the area," but this place is just plain good. I'm a pretty serious Thai food snob and--even when I lived in Chicago--I only frequented a handful of Thai places. That being said, I'm definitely going to be a repeat customer at Wild Thaiger. My husband and I gave it a try for Dining out for Life when our first choice had a long wait. I've never been so happy I couldn't get a table somewhere. We sat outside on their patio which I would recommend to anyone. It's open yet cozy and comfortably cool. For our appetizer, we had the seafood pancake. I've never had anything like it but the description sounded too good to pass up. It's a crispy pancake full of sprouts, scallions, shrimp, mussels and squid. It was delicious and really unique. For dinner, I ordered the Decha Boar. The description listed it as being perfect for the "true Thai foodie." With a description like that, I had to order it. The dish was spicy and flavorful. I'd caution anyone not familiar with Thai food that it might be a bit too spicy for you even if you like spicy foods. Different chiles effect people differently. My husband ordered the Ginger Fish. The sauce on the fish was like liquid crack. I could've taken a bath in it. Long story short: it was SO good. I'll definitely be back to try some of their other menu items. They have a smaller menu compared to most Thai places and I believe this allows them to focus on perfecting a few dishes instead of doing lots of mediocre things with Thai flavors. Check this place out!
Fzriw9EDpUx0I0IVBprmvw	Thai Restaurants 5_star	After an intense therapy session, I came to Wild Thaiger to debrief. They have lunch specials and bottomless french-pressed tea. The organic green tea is my favorite. Everything was very delicious and refreshing. The patio is the style of restaurants on Washington Ave, Miami Beach. My 'Thai Spicy' green curry beef came out artistically and I took a picture. I saw other people taking pics of their food, as well. Who doesn't want to eat beauty? The soup was fantastic. I doctored it up with mad jalapenos and dry red chili paste. My nose was snotting down my face.. Cultural note to the haters: Thai people eat cockroaches as an after bar street fare. Jebus ppl! It's better than a bacon wrapped hot dog out the side of a utility van.
voV0zAlbEBBE7U9mxdJ9uA	Thai Restaurants 5_star	I went here when I was feeling a little under the weather and got the Super Soup. It was amazing! I got it spicy and it was most def really spicy! It was such a huge soup for 9$. I had one of my friends spring rolls which were one of the best I have ever eaten! I think its one of the best Thai places in Phoenix!
PWps86hR5UmXMlq7K73nqA	Thai Restaurants 5_star	Ordered lunch for pickup. It was ready when I got there, the place is clean, cool and refreshing. The food was SO FLAVORFUL!!!! No soggy bland phad thai here! The SO GOOD. :) I will DEFINITLY come here again.
CRXtSFGETE8sPW6eUaRkxQ	Thai Restaurants 5_star	This is a must try if you live in Phoenix and like Thai food. Great food, clean/hip place, great service, reasonably priced...what more can you ask for?
