ID	Tags	Text
ZYaS2P5EmK9DANxGTV48Tw	De_Forest_WI WI Chinese Restaurants 5_star	I really like both Chinese restaurants in town. This one has outstanding crab rangoon. Love the chicken with snow peas and mushrooms and General Tso Chicken. Food is always ready in 10 minutes which is accurate. Good place and they give you free pop.
qWHIBzDnJpX32D2NpTyRsw	Mc_Farland_WI WI Chinese Restaurants 5_star	Best Chinese food madison! I've tried them all and make the 15 minute drive every week :-)
UB48XPeYsvvWzYXeV7WsaA	Mc_Farland_WI WI Chinese Restaurants 5_star	Main Moon is hand's down my favorite place to grab Chinese in McFarland, but really anywhere. No matter what time of day, day of the week, or week of the year - it only takes 15 minutes to get your food. Freshly made each time too. Don't order from the pictures, order from you heart. The staff is so friendly, I'm thinking about proposing in the near future, as I hope to be a part of their family like they've been a part of mine. I just can't even talk about the lunch buffet, I'll start tearing up with how amazing the deal is. Andddd, I just shed a tear. Yum yum yum in my tum tum tum. Miss you, Main Moon xoxox
nFPe7kazeEVjPP7zgoK4Og	Mc_Farland_WI WI Chinese Restaurants 5_star	Main Moon has the best lunch in McFarland, buffet style. Friendly service, gloriously large takeout menus, and sauces like no one else. Try their fried pork dumplings, crab Rangoon, or General Tso's. Their fried rice is legit. All portions are generous. Until secondary Moons are established, make your lunar landing as soon as you can. Delicious.
b_gnK6JS0BHardzlgdZoKg	Mc_Farland_WI WI Chinese Restaurants 5_star	Leaps and bounds better than other chinese food in the Madison area. Their lunch buffet is a great value. The general tsao's is to die for. Don't miss out on this fantastic food.
VQ5ulvpbdtMG62G-6YZEsg	Middleton_WI WI Party_&_Event_Planning Asian_Fusion Event_Planning_&_Services Venues_&_Event_Spaces Restaurants 5_star	I think some of the best Chinese food in Madison. A little pricey but a few dishes always feeds me for at least two additional meals.
PtYEtgyiHYvNF2CcZ7v9Lg	Middleton_WI WI Party_&_Event_Planning Asian_Fusion Event_Planning_&_Services Venues_&_Event_Spaces Restaurants 5_star	We visit family in Madison at least twice a year and always make sure to have dinner here. The shrimp sizzling rice soup is absolutely to die for, and every entree I've had has been fabulous. Hands down the best Chinese food I have ever had.
Mv8xaRhWFbTLLIULmEuHfg	Middleton_WI WI Party_&_Event_Planning Asian_Fusion Event_Planning_&_Services Venues_&_Event_Spaces Restaurants 5_star	Lettuce wraps 3x better than PF Changs. If Yelp reviewers consider PF changs 3 stars, then this gets 5. Just to clear up for those who want authentic Chinese. Go to ICHIBAN NOW!!!
TvKHCDE5MdQEfCYqPcD14Q	Middleton_WI WI Party_&_Event_Planning Asian_Fusion Event_Planning_&_Services Venues_&_Event_Spaces Restaurants 5_star	Best Chinese food in the area. Great service and calming atmosphere.
cke8mgbsBkRsSjTEQU4FPg	Middleton_WI WI Party_&_Event_Planning Asian_Fusion Event_Planning_&_Services Venues_&_Event_Spaces Restaurants 5_star	Always consistently delicious! Classic preparations of Americanized Chinese. The cashew chicken is great!
xTUg5ZFk6-hqZExh-DGGvg	Middleton_WI WI Party_&_Event_Planning Asian_Fusion Event_Planning_&_Services Venues_&_Event_Spaces Restaurants 5_star	Hands down the best Chinese food in Madison. The chicken chow mein has been a favorite since I was a child. Try the egg rolls and the jasmine or chrysanthemum tea. You really can never go wrong here! The decor is beautiful, and makes you almost feel like you could be in a restaurant in China.
rM_V3OfrwWA7vHsXsUmq2w	Middleton_WI WI Chinese Restaurants 5_star	Eclectic (but down-to-earth), Upbeat, Friendly, Inexpensive, Near-healthy (see menu), Kid-friendly, Fast, Clean, Variety. What more could one ask for?
Y_fMMHPz5Cs02WtSAQDlEg	Middleton_WI WI Chinese Restaurants 5_star	We LOVE this place. Food is excellent, service fast, huge portions, reasonable prices. Egg drop soup, spring rolls, bourbon chicken with veg fried rice--fantastic. You will not be sorry you visited. On nice evenings or lunches, eat outside .
XoSnoSVTlRAVaAkkVgwFuA	Middleton_WI WI Chinese Restaurants 5_star	We love Asia Fresh. bourbon chicken with veg fried rice-perfect. Take away done quickly. service great. Great price.
rUN9ZqKJAefqNSfv7g_xZg	Sun_Prairie_WI WI Chinese Restaurants 5_star	I love this place. The fried dumplings are to die for.
aeOIc53aL7M5aNavBDc-qA	Sun_Prairie_WI WI Chinese Restaurants 5_star	Easy on-line menu, great selection and fabulous food. I ordered hot/ sour soup, egg roll and chicken/ broccoli. All of it was great. I can't wait to go back.
eb_Wdmrvndad0Ww8eJFqUA	Sun_Prairie_WI WI Chinese Restaurants 5_star	Every time my boyfriend and I eat here, it has been great. We really enjoy the steamed dumplings and hot and sour soup. The staff is very friendly, too.
cYsrFnnrqKsLuF1dNLvpHQ	Sun_Prairie_WI WI Chinese Restaurants 5_star	Best chinese I've found so far. Hot and sour soup and their won ton soup are fantastic. Sometimes I'll go and just get the soup.
uJYuDKY6Yz3W9MIQCvRWSA	Sun_Prairie_WI WI Chinese Restaurants 5_star	The general tso's and boneless spare ribs are about as good as you'll find. No lie!
XHg0mfC31B3uIlJhotI8nA	Sun_Prairie_WI WI Chinese Restaurants 5_star	I love this place. The food is always fresh, they keep an eye on the buffet so they can refill the trays quickly. I've never had anything here that wasn't great.
l6TrCZ51kfjQH0tBPCxSbw	Sun_Prairie_WI WI Chinese Restaurants 5_star	I have been eating here for at least 7 years and it's excellent. Typically a group of us go there for lunch coming from work. I love the pepper chicken the broccoli and the chicken on a stick things. Ohh yes, the peanut butter chicken is also excellent. My 4 kids really love going there too when we happen to be in that area on a weekend. They've been going there every now and then since they were babies. I have heard that they may not be able to renew their lease as that part of the strip mall may be changed. That would be very disappointing. They have been a loyal staple spot for years while stores with in the mall have changed some of which are still vacant. If you have not checked them out give them a try. If you enjoy them go back for a visit incase they are soon gone.
DEw5my1Dnc02lUIZmGegRw	Sun_Prairie_WI WI Chinese Restaurants 5_star	This restaurant was forced to close due to a greedy landlord that suddenly doubled their rent, probably because of the upgrades done with the new Walmart. Does anyone know where this family went or if they opened in another location? I would gladly go to the the one. I haven't found any Chinese food as good.
bHy3jFpjZpoci4ujWYZNaA	Madison_WI WI Chinese Restaurants 5_star	We go here religiously whenever we are craving Chinese take-out (which happens a lot!) I could imagine this place is overlooked but it seriously has some of the best food in town. Service is fast and the food comes out consistently great every time. Order the pork fried rice, you won't regret it.
a11GIjA9-Tw9SYVBZxjl5w	Madison_WI WI Chinese Restaurants 5_star	Best take out Chinese in East Madison. Food is always fresh and well cooked. Sometimes you have to make sure they didn't forget the rice - mainly when the woman who typically works the front counter is not there. I have always found the service to be friendly. Periodically, I have even received free chicken dumplings or a soda. By far the best Moo Shu I have found in Madison after living here for 15 years and trying several of the more upscale places in town. FYI, there is a small seating area here but it is mainly a takeout place.
DfpClGSWBk8Y7Tg4FRnuNA	Madison_WI WI Chinese Restaurants 5_star	This place was recommended to me as some of the best Chinese food in Madison. Totally agree! I went here for a Wednesday lunch at 2 pm and I was the only person there. I don't mean to be stereotypical, but if you've ever walked into an empty Chinese restaurant in the mid afternoon...you're probably going to have to make your presence known by ringing a bell or yelling an awkward "hello" towards the kitchen. Not in this case, I was promptly greeted and offered to sit anywhere. My food was excellent. Nothing daring, just general tso's chicken. Good sauce, good flavor, good consistency. Lunch doesn't get any better at $4.95 which includes an entree, rice, and soup! Summary: friendly service, awesome food, good prices. I'll be back.
LXFSqIJJwPRJ4UWCD9exqw	Madison_WI WI Chinese Restaurants 5_star	Really great Chinese food. Something about this restaurant gives you the impression that the cooks and staff really care about your food. Everything is delicious and there's a sense that it's more 'homemade' than other Chinese restaurants.
QDNwJksTjDiG_Uroq8Qr7A	Madison_WI WI Chinese Restaurants 5_star	I gotta say that the food from this restaurant is really good and the service is very nice. I came here and a lady served me and she also was very attentive. Price is always good when you're student.
oS6SCGftPFWad4xzpyRQvw	Madison_WI WI Chinese Restaurants 5_star	After reading all the reviews i was really hesitant on going to this restaurant. My boyfriend and I decided to stop by since we were craving Chinese and decided to sit in the bar. Obviously everyone has a different opinion but this place was amazing! First off, the hostess was adorable and incredibly sweet. The bartender was amazing and he made us feel right at home. And the owner of the restaurant seemed like the sweetest lady in the world. The decor was what I would expect from a Chinese restaurant but they made the restaurant feel classy and not cheap. I ordered the pepper steak no tomatoes and my boyfriend got pork egg foo young. Wow is all I can say. The beef actually tasted like real fresh meat! Not the rubber fake kind you get at other cheap takeouts. The only draw back i had was that the peppers and onions were cut pretty big but that wasn't a huge issue. My boyfriends egg foo young was like none other and they sure didn't hold back on the sauce! The pork inside was actually Chinese bbq pork and it sure added a kick. Overall, the prices are a tad bit high but worth every penny! All the workers and the owner are so helpful and you can tell they really appreciate their customers. This is definitely my #1 stop for Chinese on the east side!
